,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
42,2806620,1216,3.7578762222804265,right,fixation,7.0,12.0,439.804295081967,144.69631475409798,,,,,1.0,10.4233531246481,72.96565803855951
43,2806628,1208,3.7578762222804265,left,fixation,7.0,,450.193158415842,146.750613861386,,,,,5.0,5.814863514241414,17.430646321187215
44,2807840,24,,left,saccade,8.0,,,,524.42,146.055,671.798,185.25,,,
45,2807840,24,,right,saccade,8.0,12.0,,,518.332,144.064,647.1619999999998,182.667,,,
46,2807868,316,3.7823750000000014,left,fixation,8.0,,700.483312499999,221.9431125,,,,,2.0,5.380724575814709,16.30504365434904
47,2807868,316,3.7823750000000014,right,fixation,8.0,13.0,688.45545,227.8286,,,,,2.0,5.775276162308576,18.784489846871878
48,2808188,32,,right,saccade,9.0,13.0,,,710.284,227.65400000000002,473.624,206.261,,,
49,2808188,36,,left,saccade,9.0,,,,718.85,253.22,500.402,207.503,,,
50,2808224,716,3.8773351955307263,right,fixation,9.0,14.0,475.111716666667,173.349283333333,,,,,3.0,7.594750993477273,18.322647846786356
51,2808228,1996,3.867209418837674,left,fixation,9.0,,483.179862,152.15866200000005,,,,,5.0,6.924963333870219,24.483240183163122
52,2808944,4,,right,saccade,10.0,14.0,,,500.219,166.679,506.67699999999996,164.868,,,
53,2808952,1272,3.86146855345912,right,fixation,10.0,15.0,475.89352351097085,159.81552037617598,,,,,2.0,12.088271808669033,46.77308497285228
54,2810228,36,,left,saccade,10.0,,,,414.353,163.96400000000003,710.08,213.87900000000002,,,
55,2810228,36,,right,saccade,11.0,15.0,,,405.616,159.102,741.4889999999997,203.25,,,
56,2810268,564,3.7508191489361695,left,fixation,10.0,,727.047,247.03099999999998,,,,,0.0,,
57,2810268,568,3.7505704225352106,right,fixation,11.0,16.0,744.2476223776221,226.29752447552502,,,,,1.0,3.593428125682228,6.763888304813963
58,2810836,28,,left,saccade,11.0,,,,737.4810000000001,267.267,547.462,209.59099999999998,,,
59,2810840,24,,right,saccade,12.0,16.0,,,707.255,218.558,540.496,174.825,,,
60,2810868,1096,3.738487226277372,left,fixation,11.0,,468.44892363636285,164.157214545454,,,,,3.0,8.411372647756666,40.68219338452575
61,2810868,1096,3.738487226277372,right,fixation,12.0,17.0,454.100356363636,152.257127272727,,,,,5.0,5.606002568149189,24.631849210707422
62,2811968,20,,left,saccade,12.0,,,,492.324,151.575,483.795,257.572,,,
63,2811968,20,,right,saccade,13.0,17.0,,,479.968,143.66899999999995,473.74800000000016,276.802,,,
64,2811992,516,3.7037868217054255,left,fixation,12.0,,499.780423076923,267.909807692308,,,,,0.0,,
65,2811992,516,3.7037868217054255,right,fixation,13.0,18.0,493.631169230769,267.846169230769,,,,,0.0,,
66,2812512,28,,left,saccade,13.0,,,,505.459,269.431,400.88,170.541,,,
67,2812512,28,,right,saccade,14.0,18.0,,,491.97,241.305,388.515,176.38,,,
68,2812544,680,3.6646294117647056,left,fixation,13.0,,409.844853801169,144.23431578947398,,,,,0.0,,
69,2812544,680,3.6646294117647056,right,fixation,14.0,19.0,409.285421052631,139.925883040936,,,,,2.0,5.205147443885316,19.86846964963979
70,2813228,20,,left,saccade,14.0,,,,424.80199999999996,150.732,505.675,145.44299999999996,,,
71,2813228,20,,right,saccade,15.0,19.0,,,422.13300000000004,157.14700000000005,526.7919999999998,156.819,,,
72,2813252,140,3.6917,left,fixation,14.0,,522.029111111111,146.369888888889,,,,,0.0,,
73,2813252,140,3.6917,right,fixation,15.0,20.0,532.153777777778,155.345694444444,,,,,1.0,5.570820909983667,12.27856709881082
74,2813396,48,,right,saccade,16.0,20.0,,,522.929,134.695,1274.5230000000001,201.778,,,
75,2813396,52,,left,saccade,15.0,,,,527.033,144.113,1263.876,174.44799999999995,,,
76,2813448,384,3.7141458333333333,right,fixation,16.0,21.0,1256.12583505155,241.11687628866002,,,,,2.0,7.714580613386742,48.81064502516963
77,2813452,380,3.7142210526315775,left,fixation,15.0,,1253.35123958333,186.57978125,,,,,2.0,9.396508002604644,35.08822801294203
78,2813836,24,,left,saccade,16.0,,,,1228.504,197.43200000000002,1452.2160000000001,197.43200000000002,,,
79,2813836,24,,right,saccade,17.0,21.0,,,1257.861,251.502,1457.89,264.95,,,
80,2813864,156,3.6574487179487187,left,fixation,16.0,,1461.049875,204.62855,,,,,0.0,,
81,2813864,156,3.6574487179487187,right,fixation,17.0,22.0,1458.47515,264.290325,,,,,0.0,,
82,2814024,44,,left,saccade,17.0,,,,1463.6170000000006,225.785,900.007,206.429,,,
83,2814024,44,,right,saccade,18.0,22.0,,,1450.195,279.63,910.947,247.093,,,
84,2814072,120,3.558966666666666,left,fixation,17.0,,891.43664516129,208.34983870967704,,,,,0.0,,
85,2814072,120,3.558966666666666,right,fixation,18.0,23.0,904.6000967741941,244.063290322581,,,,,0.0,,
86,2814196,24,,left,saccade,18.0,,,,889.319,217.261,737.307,226.601,,,
87,2814196,24,,right,saccade,19.0,23.0,,,898.5419999999997,237.537,742.072,250.57,,,
88,2814224,464,3.5716853448275865,left,fixation,18.0,,728.541418803419,241.00045299145302,,,,,1.0,4.419531655679771,12.341011465840232
89,2814224,464,3.5716853448275865,right,fixation,19.0,24.0,729.174564102564,227.78403418803398,,,,,0.0,,
90,2814692,28,,right,saccade,20.0,24.0,,,734.2639999999999,240.99900000000002,558.2769999999998,189.29,,,
91,2814692,32,,left,saccade,19.0,,,,716.6410000000003,252.975,540.008,187.36599999999999,,,
92,2814724,1751,3.6833512585812365,right,fixation,20.0,25.0,480.309870159453,141.365211845102,,,,,5.0,8.039040356323046,30.14718907817822
93,2814728,1747,3.683557339449541,left,fixation,19.0,,480.573515981735,153.024842465754,,,,,6.0,6.911077883084813,24.0349311008555
94,2816479,28,,left,saccade,20.0,,,,479.041,166.679,696.8969999999997,183.375,,,
95,2816479,28,,right,saccade,21.0,25.0,,,489.723,155.029,712.6080000000003,172.378,,,
96,2816511,933,3.670023504273504,left,fixation,20.0,,722.2396324786321,208.893512820513,,,,,1.0,5.164606344576939,16.27576419096811
97,2816511,937,3.6699531914893617,right,fixation,21.0,26.0,722.7231872340428,200.399174468085,,,,,0.0,,
98,2817448,28,,left,saccade,21.0,,,,712.707,198.732,526.523,185.06599999999997,,,
99,2817452,24,,right,saccade,22.0,26.0,,,706.448,180.882,508.731,163.97400000000005,,,
100,2817479,500,3.6993320000000014,left,fixation,21.0,,505.05471428571406,147.038293650794,,,,,4.0,4.81664646021216,15.670766932376194
101,2817479,504,3.6994603174603182,right,fixation,22.0,27.0,491.9187637795269,146.740881889764,,,,,0.0,,
102,2817983,28,,left,saccade,22.0,,,,522.0459999999998,164.826,717.462,193.565,,,
103,2817987,24,,right,saccade,23.0,27.0,,,521.5269999999998,133.917,705.041,189.42700000000002,,,
104,2818015,288,3.7093472222222217,left,fixation,22.0,,723.4406027397258,215.25134246575297,,,,,0.0,,
105,2818015,292,3.7098013698630137,right,fixation,23.0,28.0,708.845243243243,211.055635135135,,,,,0.0,,
106,2818307,28,,left,saccade,23.0,,,,721.314,219.074,492.01800000000003,185.59,,,
107,2818311,28,,right,saccade,24.0,28.0,,,712.8480000000003,233.81400000000002,480.015,177.78,,,
108,2818339,828,3.723659420289856,left,fixation,23.0,,454.242024038462,162.312985576923,,,,,2.0,5.036165574680459,24.73226958826037
109,2818343,824,3.7235048543689317,right,fixation,24.0,29.0,429.14798550724714,149.387212560387,,,,,2.0,8.2800046255656,29.742946953233773
110,2819171,36,,right,saccade,25.0,29.0,,,401.074,143.095,756.62,163.55100000000004,,,
111,2819171,40,,left,saccade,24.0,,,,431.88300000000004,168.324,791.944,181.02200000000002,,,
112,2819211,816,3.687142156862745,right,fixation,25.0,30.0,734.965058536586,221.76176585365897,,,,,2.0,5.146727580084039,16.59320623706633
113,2819215,812,3.687120689655172,left,fixation,24.0,,738.32644117647,226.51508333333302,,,,,1.0,5.365995281502875,28.610878927428843
114,2820031,28,,left,saccade,25.0,,,,714.9789999999997,215.542,521.13,180.894,,,
115,2820031,36,,right,saccade,26.0,30.0,,,727.4960000000003,240.178,515.74,166.09599999999998,,,
116,2820063,648,3.6687932098765437,left,fixation,25.0,,522.115932515337,155.707,,,,,2.0,3.929357465538789,9.928034640926311
117,2820071,648,3.6685925925925926,right,fixation,26.0,31.0,515.74009202454,139.04562576687098,,,,,1.0,4.464180704352295,21.10291477497839
118,2820715,12,,left,saccade,26.0,,,,534.768,166.767,483.86199999999997,171.609,,,
119,2820723,4,,right,saccade,27.0,31.0,,,489.19199999999995,146.838,472.05199999999996,146.838,,,
120,2820731,768,3.695763020833333,left,fixation,26.0,,473.569497409327,162.574512953368,,,,,0.0,,
121,2820731,768,3.695763020833333,right,fixation,27.0,32.0,464.013844559586,152.010844559585,,,,,2.0,4.410145915044071,23.497083735205265
122,2821503,48,,left,saccade,27.0,,,,485.26,166.957,1084.618,210.148,,,
123,2821503,48,,right,saccade,28.0,32.0,,,473.335,145.499,1124.405,202.93,,,
124,2821555,132,3.697333333333333,left,fixation,27.0,,1109.87879411765,224.281735294118,,,,,1.0,5.362409947443745,17.581218387813617
125,2821555,132,3.697333333333333,right,fixation,28.0,33.0,1129.73961764706,231.23102941176498,,,,,0.0,,
126,2821691,16,,left,saccade,28.0,,,,1122.555,227.935,1185.934,230.035,,,
127,2821691,16,,right,saccade,29.0,33.0,,,1133.254,230.476,1201.665,237.247,,,
128,2821711,352,3.681039772727273,left,fixation,28.0,,1213.00731460674,212.70029213483105,,,,,0.0,,
129,2821711,352,3.681039772727273,right,fixation,29.0,34.0,1216.01443820225,244.73853932584305,,,,,1.0,4.578799542456516,6.734229651563737
130,2822067,28,,left,saccade,29.0,,,,1208.384,232.921,995.904,223.354,,,
131,2822067,28,,right,saccade,30.0,34.0,,,1211.18,249.054,999.081,235.767,,,
132,2822099,780,3.535472278566599,right,fixation,30.0,35.0,979.130168367347,231.141698979592,,,,,0.0,,
133,2822099,784,3.535472278566599,left,fixation,29.0,,974.4885989847728,207.967111675127,,,,,0.0,,
134,2822883,40,,right,saccade,31.0,35.0,,,968.875,260.232,963.873,168.979,,,
135,2822887,40,,left,saccade,30.0,,,,975.377,206.62900000000002,958.297,181.013,,,
136,2823019,188,3.5603095238095235,left,fixation,30.0,,963.1543541666672,200.095791666667,,,,,1.0,4.867216353089104,15.765546485929375
137,2823019,188,3.5603095238095235,right,fixation,31.0,36.0,966.978354166667,210.545145833333,,,,,0.0,,
138,2823211,40,,left,saccade,31.0,,,,963.04,190.697,499.0,149.453,,,
139,2823211,44,,right,saccade,32.0,36.0,,,955.7639999999999,226.824,464.848,157.107,,,
140,2823255,420,3.7101904761904754,left,fixation,31.0,,468.11633962264085,148.572169811321,,,,,0.0,,
141,2823259,416,3.710875,right,fixation,32.0,37.0,438.604923809524,136.824133333333,,,,,1.0,3.5062835064748836,7.849078544644616
142,2823679,8,,left,saccade,32.0,,,,454.213,168.983,470.66900000000004,163.167,,,
143,2823679,16,,right,saccade,33.0,37.0,,,422.67199999999997,144.605,483.99199999999996,140.52100000000002,,,
144,2823691,0,,left,fixation,32.0,,497.658,157.28,,,,,0.0,,
145,2823695,0,,left,saccade,33.0,,,,498.38199999999995,155.466,498.38199999999995,155.466,,,
146,2823699,364,3.696785714285715,left,fixation,33.0,,508.60477173912994,143.26691304347798,,,,,2.0,4.379797217027497,13.639658459475722
147,2823699,364,3.696785714285715,right,fixation,33.0,38.0,488.558184782608,143.582141304348,,,,,1.0,4.982781775496709,15.296729617797382
148,2824067,40,,right,saccade,34.0,38.0,,,473.69800000000004,145.504,976.71,168.602,,,
149,2824067,44,,left,saccade,34.0,,,,497.47900000000004,148.644,992.534,166.835,,,
150,2824111,952,3.740882291666667,right,fixation,34.0,39.0,969.2749581589952,197.523974895397,,,,,0.0,,
151,2824115,948,3.740969665271967,left,fixation,34.0,,980.8702815126061,185.032012605042,,,,,1.0,4.113284025231176,10.168764182534646
